
start_station_name,end_station_name,subscriber_count,customer_count,total_count
Embarcadero at Bryant,Steuart at Market,1512,137,1649
2nd at Folsom,Harry Bridges Plaza (Ferry Building),1523,118,1641
Embarcadero at Vallejo,Embarcadero at Sansome,292,1345,1637
Embarcadero at Bryant,Embarcadero at Vallejo,1354,278,1632
Embarcadero at Sansome,Beale at Market,1374,245,1619
Beale at Market,2nd at Townsend,1528,91,1619
Market at 4th,San Francisco Caltrain 2 (330 Townsend),1518,99,1617
Beale at Market,San Francisco Caltrain 2 (330 Townsend),1575,40,1615
Grant Avenue at Columbus Avenue,Embarcadero at Folsom,1573,35,1608
Embarcadero at Sansome,2nd at Townsend,1021,583,1604
Yerba Buena Center of the Arts (3rd @ Howard),San Francisco Caltrain 2 (330 Townsend),1548,56,1604
San Francisco Caltrain (Townsend at 4th),Mechanics Plaza (Market at Battery),1525,49,1574
2nd at Townsend,Howard at 2nd,1498,73,1571
San Pedro Square,San Jose Diridon Caltrain Station,1504,64,1568
Grant Avenue at Columbus Avenue,San Francisco Caltrain (Townsend at 4th),1429,137,1566
Beale at Market,Temporary Transbay Terminal (Howard at Beale),1533,17,1550
Temporary Transbay Terminal (Howard at Beale),Market at 4th,1467,69,1536
2nd at South Park,San Francisco Caltrain 2 (330 Townsend),1485,42,1527
Powell Street BART,South Van Ness at Market,1141,374,1515
Market at 10th,Market at Sansome,1335,179,1514
San Francisco Caltrain (Townsend at 4th),Broadway St at Battery St,1458,55,1513
Broadway St at Battery St,Steuart at Market,1436,34,1470
Steuart at Market,Townsend at 7th,1393,76,1469
2nd at Townsend,Embarcadero at Folsom,1356,113,1469
Harry Bridges Plaza (Ferry Building),Market at Sansome,1251,210,1461
Townsend at 7th,2nd at Townsend,1316,140,1456
Embarcadero at Folsom,Embarcadero at Sansome,1079,371,1450
Temporary Transbay Terminal (Howard at Beale),Broadway St at Battery St,1438,9,1447
2nd at Folsom,2nd at Townsend,1355,90,1445
South Van Ness at Market,Civic Center BART (7th at Market),1360,85,1445
Embarcadero at Vallejo,San Francisco Caltrain (Townsend at 4th),1257,187,1444
San Francisco Caltrain (Townsend at 4th),Market at 4th,1300,143,1443
Embarcadero at Sansome,Embarcadero at Folsom,1126,312,1438
Broadway St at Battery St,Beale at Market,1425,12,1437
Davis at Jackson,Embarcadero at Sansome,1200,231,1431
Market at 4th,Harry Bridges Plaza (Ferry Building),817,613,1430
South Van Ness at Market,Market at Sansome,1340,85,1425
2nd at Folsom,San Francisco Caltrain 2 (330 Townsend),1355,55,1410
South Van Ness at Market,Powell Street BART,1205,204,1409
Commercial at Montgomery,Market at Sansome,1364,36,1400
Evelyn Park and Ride,Mountain View Caltrain Station,1300,98,1398
San Jose Diridon Caltrain Station,Paseo de San Antonio,1357,40,1397
Temporary Transbay Terminal (Howard at Beale),Embarcadero at Sansome,1310,87,1397
5th at Howard,Temporary Transbay Terminal (Howard at Beale),1352,39,1391
Market at Sansome,2nd at Folsom,1354,31,1385
Embarcadero at Sansome,Market at Sansome,954,420,1374
San Francisco Caltrain (Townsend at 4th),2nd at South Park,1319,53,1372
Powell Street BART,Townsend at 7th,1227,116,1343
2nd at Townsend,Embarcadero at Sansome,796,546,1342
2nd at South Park,Howard at 2nd,1265,46,1311
Embarcadero at Sansome,Clay at Battery,999,309,1308
Market at 10th,Townsend at 7th,1220,86,1306
San Francisco Caltrain 2 (330 Townsend),Yerba Buena Center of the Arts (3rd @ Howard),1250,53,1303
Market at 4th,Embarcadero at Sansome,530,770,1300
Howard at 2nd,2nd at South Park,1232,61,1293
Embarcadero at Folsom,Embarcadero at Bryant,1202,88,1290
South Van Ness at Market,San Francisco Caltrain (Townsend at 4th),1225,60,1285
Commercial at Montgomery,Temporary Transbay Terminal (Howard at Beale),1267,18,1285
Cowper at University,Palo Alto Caltrain Station,1219,66,1285
Market at Sansome,Grant Avenue at Columbus Avenue,1168,113,1281
Spear at Folsom,San Francisco Caltrain 2 (330 Townsend),1240,36,1276
Embarcadero at Sansome,Market at 4th,571,701,1272
Temporary Transbay Terminal (Howard at Beale),Embarcadero at Vallejo,1227,33,1260
Embarcadero at Bryant,Embarcadero at Folsom,1169,83,1252
Howard at 2nd,2nd at Townsend,1176,70,1246
Civic Center BART (7th at Market),South Van Ness at Market,1056,177,1233
Mechanics Plaza (Market at Battery),Market at 4th,1033,198,1231
Harry Bridges Plaza (Ferry Building),Howard at 2nd,1136,94,1230
2nd at South Park,Temporary Transbay Terminal (Howard at Beale),1211,18,1229
Temporary Transbay Terminal (Howard at Beale),2nd at South Park,1205,24,1229
Market at 10th,Civic Center BART (7th at Market),1137,89,1226
Embarcadero at Sansome,Embarcadero at Bryant,801,415,1216
2nd at Townsend,2nd at Folsom,1152,63,1215
Post at Kearny,San Francisco Caltrain (Townsend at 4th),1152,50,1202
South Van Ness at Market,Market at 4th,985,215,1200
Embarcadero at Sansome,Mechanics Plaza (Market at Battery),768,431,1199
Palo Alto Caltrain Station,Cowper at University,1117,78,1195
Civic Center BART (7th at Market),Market at 4th,957,230,1187
University and Emerson,University and Emerson,71,1113,1184
Powell at Post (Union Square),San Francisco Caltrain (Townsend at 4th),1044,137,1181
Townsend at 7th,South Van Ness at Market,1128,51,1179
Grant Avenue at Columbus Avenue,Temporary Transbay Terminal (Howard at Beale),1160,19,1179
2nd at Townsend,Spear at Folsom,1103,70,1173
Grant Avenue at Columbus Avenue,Market at 4th,930,231,1161
San Francisco Caltrain 2 (330 Townsend),South Van Ness at Market,1101,56,1157
San Francisco Caltrain (Townsend at 4th),South Van Ness at Market,1055,101,1156
2nd at Townsend,San Francisco Caltrain 2 (330 Townsend),1121,35,1156
Mountain View Caltrain Station,Evelyn Park and Ride,1069,77,1146
Broadway St at Battery St,Temporary Transbay Terminal (Howard at Beale),1130,13,1143
Clay at Battery,Embarcadero at Sansome,782,357,1139
San Francisco Caltrain (Townsend at 4th),Commercial at Montgomery,1080,54,1134
Civic Center BART (7th at Market),Market at 10th,959,174,1133
Market at Sansome,Steuart at Market,865,266,1131
San Francisco Caltrain 2 (330 Townsend),2nd at Folsom,1085,43,1128
Embarcadero at Sansome,Davis at Jackson,978,148,1126
MLK Library,San Jose Diridon Caltrain Station,1076,43,1119
Embarcadero at Sansome,Powell Street BART,589,528,1117
Broadway St at Battery St,Mechanics Plaza (Market at Battery),1084,31,1115
Temporary Transbay Terminal (Howard at Beale),Clay at Battery,1100,12,1112
San Francisco Caltrain 2 (330 Townsend),Civic Center BART (7th at Market),1048,59,1107
Powell at Post (Union Square),Howard at 2nd,1064,37,1101
San Jose Diridon Caltrain Station,MLK Library,1033,64,1097
San Francisco Caltrain 2 (330 Townsend),Davis at Jackson,1058,35,1093
Embarcadero at Bryant,Mechanics Plaza (Market at Battery),1035,57,1092
2nd at Folsom,Spear at Folsom,1063,26,1089
San Francisco Caltrain (Townsend at 4th),Post at Kearny,1005,82,1087
South Van Ness at Market,Townsend at 7th,1043,41,1084
2nd at Folsom,Temporary Transbay Terminal (Howard at Beale),1068,12,1080
Howard at 2nd,5th at Howard,1015,62,1077
Grant Avenue at Columbus Avenue,Beale at Market,1027,48,1075
Harry Bridges Plaza (Ferry Building),Market at 4th,598,476,1074
Embarcadero at Vallejo,Harry Bridges Plaza (Ferry Building),652,420,1072
Powell Street BART,Market at Sansome,967,105,1072
Adobe on Almaden,San Jose Diridon Caltrain Station,995,64,1059
Beale at Market,Embarcadero at Vallejo,966,91,1057
Steuart at Market,2nd at South Park,972,83,1055
San Francisco Caltrain 2 (330 Townsend),Market at 4th,980,72,1052
Davis at Jackson,2nd at Townsend,965,81,1046
Civic Center BART (7th at Market),San Francisco Caltrain 2 (330 Townsend),993,52,1045
Grant Avenue at Columbus Avenue,Commercial at Montgomery,996,49,1045
Broadway St at Battery St,San Francisco Caltrain 2 (330 Townsend),1011,29,1040
Clay at Battery,Temporary Transbay Terminal (Howard at Beale),1014,21,1035
Beale at Market,Commercial at Montgomery,1009,20,1029
Embarcadero at Bryant,2nd at Townsend,813,215,1028
Powell at Post (Union Square),Embarcadero at Sansome,405,619,1024
2nd at Townsend,Davis at Jackson,945,76,1021
Paseo de San Antonio,San Jose Diridon Caltrain Station,962,55,1017
Harry Bridges Plaza (Ferry Building),2nd at Folsom,961,54,1015
Steuart at Market,Embarcadero at Folsom,976,37,1013
Temporary Transbay Terminal (Howard at Beale),South Van Ness at Market,944,62,1006
Howard at 2nd,Harry Bridges Plaza (Ferry Building),897,109,1006
San Francisco Caltrain 2 (330 Townsend),Beale at Market,972,31,1003
Howard at 2nd,Steuart at Market,946,57,1003
Market at Sansome,Commercial at Montgomery,976,25,1001
San Francisco Caltrain (Townsend at 4th),Civic Center BART (7th at Market),900,100,1000
Market at Sansome,Davis at Jackson,955,45,1000
Temporary Transbay Terminal (Howard at Beale),Market at 10th,952,42,994
Golden Gate at Polk,San Francisco Caltrain 2 (330 Townsend),949,35,984
San Jose Diridon Caltrain Station,Japantown,941,43,984
Market at 4th,Steuart at Market,539,442,981
