
start_station_name,end_station_name,latitude,longitude,total_trips
Powell Street BART,South Van Ness at Market,37.783871,-122.408433,1515
Market at 10th,Market at Sansome,37.776619,-122.417385,1514
San Francisco Caltrain (Townsend at 4th),Broadway St at Battery St,37.776617,-122.39526,1513
Broadway St at Battery St,Steuart at Market,37.798541,-122.400862,1470
2nd at Townsend,Embarcadero at Folsom,37.780526,-122.390288,1469
Steuart at Market,Townsend at 7th,37.794139,-122.394434,1469
Harry Bridges Plaza (Ferry Building),Market at Sansome,37.795392,-122.394203,1461
Townsend at 7th,2nd at Townsend,37.771058,-122.402717,1456
Embarcadero at Folsom,Embarcadero at Sansome,37.791464,-122.391034,1450
Temporary Transbay Terminal (Howard at Beale),Broadway St at Battery St,37.789756,-122.394643,1447
2nd at Folsom,2nd at Townsend,37.785299,-122.396236,1445
South Van Ness at Market,Civic Center BART (7th at Market),37.774814,-122.418954,1445
Embarcadero at Vallejo,San Francisco Caltrain (Townsend at 4th),37.799953,-122.398525,1444
San Francisco Caltrain (Townsend at 4th),Market at 4th,37.776617,-122.39526,1443
Embarcadero at Sansome,Embarcadero at Folsom,37.80477,-122.403234,1438
Broadway St at Battery St,Beale at Market,37.798541,-122.400862,1437
Davis at Jackson,Embarcadero at Sansome,37.79728,-122.398436,1431
Market at 4th,Harry Bridges Plaza (Ferry Building),37.786305,-122.404966,1430
South Van Ness at Market,Market at Sansome,37.774814,-122.418954,1425
2nd at Folsom,San Francisco Caltrain 2 (330 Townsend),37.785299,-122.396236,1410
South Van Ness at Market,Powell Street BART,37.774814,-122.418954,1409
Commercial at Montgomery,Market at Sansome,37.794231,-122.402923,1400
Evelyn Park and Ride,Mountain View Caltrain Station,37.395337,-122.052476,1398
Temporary Transbay Terminal (Howard at Beale),Embarcadero at Sansome,37.789756,-122.394643,1397
San Jose Diridon Caltrain Station,Paseo de San Antonio,37.329732,-121.901782,1397
5th at Howard,Temporary Transbay Terminal (Howard at Beale),37.781752,-122.405127,1391
Market at Sansome,2nd at Folsom,37.789625,-122.400811,1385
Embarcadero at Sansome,Market at Sansome,37.80477,-122.403234,1374
San Francisco Caltrain (Townsend at 4th),2nd at South Park,37.776617,-122.39526,1372
Powell Street BART,Townsend at 7th,37.783871,-122.408433,1343
2nd at Townsend,Embarcadero at Sansome,37.780526,-122.390288,1342
2nd at South Park,Howard at 2nd,37.782259,-122.392738,1311
Embarcadero at Sansome,Clay at Battery,37.80477,-122.403234,1308
Market at 10th,Townsend at 7th,37.776619,-122.417385,1306
San Francisco Caltrain 2 (330 Townsend),Yerba Buena Center of the Arts (3rd @ Howard),37.7766,-122.39547,1303
Market at 4th,Embarcadero at Sansome,37.786305,-122.404966,1300
Howard at 2nd,2nd at South Park,37.786978,-122.398108,1293
Embarcadero at Folsom,Embarcadero at Bryant,37.791464,-122.391034,1290
